"Country or Area","Year","Item","Value"
"United States","2019","Gross Domestic Product (GDP)","65133.7316521044"
"United States","2018","Gross Domestic Product (GDP)","63014.6632826884"
"Uruguay","2019","Gross Domestic Product (GDP)","16190.1384380719"
"Uruguay","2018","Gross Domestic Product (GDP)","17278.0636694201"
"Uzbekistan","2019","Gross Domestic Product (GDP)","1756.16349588478"
"Uzbekistan","2018","Gross Domestic Product (GDP)","1551.67613736904"
"Vanuatu","2019","Gross Domestic Product (GDP)","3023.40944511151"
"Vanuatu","2018","Gross Domestic Product (GDP)","3125.25704340568"
"Venezuela (Bolivarian Republic of)","2019","Gross Domestic Product (GDP)","4732.82009342001"
"Venezuela (Bolivarian Republic of)","2018","Gross Domestic Product (GDP)","7061.61396172556"
"Viet Nam","2019","Gross Domestic Product (GDP)","2715.27587424366"
"Viet Nam","2018","Gross Domestic Product (GDP)","2566.44734641531"
"Yemen","2019","Gross Domestic Product (GDP)","855.066810721082"
"Yemen","2018","Gross Domestic Product (GDP)","803.648363465572"
"Zambia","2019","Gross Domestic Product (GDP)","1292.48207633107"
"Zambia","2018","Gross Domestic Product (GDP)","1556.33827450601"
"Zimbabwe","2019","Gross Domestic Product (GDP)","1463.98591291176"
"Zimbabwe","2018","Gross Domestic Product (GDP)","1683.7657684481"

